City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Jiwani,PK,2020-09-03 17:50:43,25.05,61.74,84.67,71,0,4.74
70,Ancud,CL,2020-09-03 17:50:43,-41.87,-73.82,50.0,81,33,3.0
71,Buala,SB,2020-09-03 17:50:43,-8.14,159.59,81.39,79,98,9.55
72,Ilulissat,GL,2020-09-03 17:50:44,69.22,-51.1,44.6,36,5,10.29
73,Carnarvon,AU,2020-09-03 17:50:44,-24.87,113.63,60.8,87,0,9.17
74,Dingle,PH,2020-09-03 17:50:44,11.0,122.67,76.75,85,89,1.95
75,Rio Branco,BR,2020-09-03 17:50:45,-9.97,-67.81,91.4,49,75,4.7
76,Longyearbyen,SJ,2020-09-03 17:50:45,78.22,15.64,42.8,93,75,3.36
77,Cape Town,ZA,2020-09-03 17:50:40,-33.93,18.42,61.0,82,78,8.05
78,Naze,JP,2020-09-03 17:50:45,28.37,129.48,80.6,94,100,3.36
79,Lampazos De Naranjo,MX,2020-09-03 17:50:45,27.02,-100.52,88.09,56,98,4.43
80,Kaffrine,SN,2020-09-03 17:50:45,14.11,-15.55,81.05,82,80,11.32
81,Sechura,PE,2020-09-03 17:50:46,-5.56,-80.82,76.01,48,20,12.1
82,Along,IN,2020-09-03 17:50:46,28.17,94.77,74.7,88,43,0.29
83,Sao Filipe,CV,2020-09-03 17:50:46,14.9,-24.5,79.18,80,34,10.09
84,Ohara,JP,2020-09-03 17:50:46,35.25,140.38,82.0,94,75,3.36
85,Bluff,NZ,2020-09-03 17:50:47,-46.6,168.33,45.0,72,100,11.01
86,Nikolskoye,RU,2020-09-03 17:50:47,59.7,30.79,66.99,82,40,4.47
87,Poli,TZ,2020-09-03 17:50:47,-3.33,36.8,73.4,60,20,7.45
88,Saldanha,ZA,2020-09-03 17:50:47,-33.01,17.94,62.6,72,79,4.7
89,Nouadhibou,MR,2020-09-03 17:50:47,20.93,-17.03,87.8,66,35,11.41
90,Hammerfest,NO,2020-09-03 17:50:48,70.66,23.68,62.6,48,2,19.46
91,Valdivia,CL,2020-09-03 17:50:48,-39.81,-73.25,51.8,71,75,11.41
92,Saint George,US,2020-09-03 17:47:53,37.1,-113.58,90.0,17,1,1.07
93,Pradopolis,BR,2020-09-03 17:50:48,-21.36,-48.07,93.2,15,15,4.7
94,Curillo,CO,2020-09-03 17:50:49,1.03,-75.92,87.01,67,60,3.58
95,Kavaratti,IN,2020-09-03 17:50:49,10.57,72.64,81.97,79,92,10.02
96,Yellowknife,CA,2020-09-03 17:50:45,62.46,-114.35,44.01,75,20,9.17
97,Atasu,KZ,2020-09-03 17:50:49,48.68,71.64,56.73,62,69,19.39
98,Luganville,VU,2020-09-03 17:50:49,-15.53,167.17,73.4,76,85,15.64
99,Ilam,NP,2020-09-03 17:50:50,26.92,87.92,78.8,94,75,1.12
100,Pevek,RU,2020-09-03 17:50:50,69.7,170.31,34.57,90,70,6.96
101,Hoi An,VN,2020-09-03 17:50:50,15.88,108.33,84.2,79,20,2.24
102,Alice Springs,AU,2020-09-03 17:50:50,-23.7,133.88,57.2,33,0,5.82
103,Kodino,RU,2020-09-03 17:50:51,63.72,39.64,48.99,93,2,5.48
104,Chapais,CA,2020-09-03 17:50:51,49.78,-74.85,64.4,63,75,11.41
105,Tiksi,RU,2020-09-03 17:50:51,71.69,128.87,41.22,83,40,7.07
106,Belmonte,BR,2020-09-03 17:50:51,-15.86,-38.88,77.0,69,75,5.82
107,Bethel,US,2020-09-03 17:50:52,41.37,-73.41,82.0,50,1,5.82
108,Ust-Nera,RU,2020-09-03 17:50:52,64.57,143.2,44.42,78,87,3.44
109,Castro,BR,2020-09-03 17:50:52,-24.79,-50.01,77.05,50,13,10.98
110,Bengkulu,ID,2020-09-03 17:50:52,-3.8,102.27,76.37,90,99,5.12
111,Jutai,BR,2020-09-03 17:50:52,-5.18,-68.9,88.34,55,24,4.72
112,Sakakah,SA,2020-09-03 17:50:53,29.97,40.21,98.6,7,20,6.93
113,Hithadhoo,MV,2020-09-03 17:50:53,-0.6,73.08,81.95,77,42,12.39
114,Witu,KE,2020-09-03 17:50:53,-2.39,40.44,74.19,81,0,11.01
115,Kieta,PG,2020-09-03 17:50:54,-6.22,155.63,79.54,74,95,3.58
116,Airai,TL,2020-09-03 17:50:54,-8.93,125.41,57.31,82,67,3.15
117,Morozovsk,RU,2020-09-03 17:50:55,48.35,41.83,75.56,32,0,17.31
118,Milagres,BR,2020-09-03 17:49:08,-7.31,-38.95,93.2,20,40,9.17
119,Coquimbo,CL,2020-09-03 17:50:55,-29.95,-71.34,59.0,67,1,17.22
120,Port Alfred,ZA,2020-09-03 17:50:55,-33.59,26.89,63.18,69,4,13.78
121,Nome,US,2020-09-03 17:50:56,64.5,-165.41,41.0,93,40,4.7
122,Rodrigues Alves,BR,2020-09-03 17:50:56,-7.74,-72.65,89.6,66,20,4.7
123,Albany,US,2020-09-03 17:48:35,42.6,-73.97,81.0,43,94,3.11
124,Rio Gallegos,AR,2020-09-03 17:50:56,-51.62,-69.22,46.4,61,40,19.46
125,Lima,PE,2020-09-03 17:49:27,-12.04,-77.03,62.6,77,90,9.17
126,Sorland,NO,2020-09-03 17:50:57,67.67,12.69,59.0,62,20,11.41
127,Zhob,PK,2020-09-03 17:50:57,31.34,69.45,78.31,52,0,2.53
128,Keuruu,FI,2020-09-03 17:50:57,62.27,24.7,59.0,93,90,5.82
129,Ponta Do Sol,PT,2020-09-03 17:50:58,32.67,-17.1,75.2,64,40,11.41
130,Severo-Kurilsk,RU,2020-09-03 17:50:58,50.68,156.12,54.28,93,100,11.39
131,Goulburn,AU,2020-09-03 17:50:58,-34.75,149.72,52.0,82,3,8.43
132,Touros,BR,2020-09-03 17:50:58,-5.2,-35.46,84.2,62,40,17.22
133,Chara,RU,2020-09-03 17:50:58,56.91,118.26,51.53,69,25,0.87
134,Hvide Sande,DK,2020-09-03 17:50:59,56.0,8.13,60.01,76,100,4.0
135,Pathardi,IN,2020-09-03 17:50:59,19.17,75.18,80.76,69,48,5.77
136,Amahai,ID,2020-09-03 17:50:59,-3.33,128.92,76.57,86,92,2.1
137,Kiruna,SE,2020-09-03 17:50:59,67.86,20.23,53.6,71,10,5.82
138,Kloulklubed,PW,2020-09-03 17:51:00,7.04,134.26,77.0,88,75,6.38
139,Atar,MR,2020-09-03 17:51:00,20.52,-13.05,103.57,15,66,9.78
140,Marrakesh,MA,2020-09-03 17:50:13,31.63,-8.01,96.8,22,20,10.29
141,Upernavik,GL,2020-09-03 17:51:00,72.79,-56.15,38.98,70,0,6.98
142,Lebu,CL,2020-09-03 17:51:00,-37.62,-73.65,51.17,80,81,4.45
143,Inirida,CO,2020-09-03 17:51:01,3.87,-67.92,95.43,43,12,1.19
144,Port Blair,IN,2020-09-03 17:51:01,11.67,92.75,82.63,77,73,6.15
145,Camacha,PT,2020-09-03 17:51:01,33.08,-16.33,75.2,64,20,11.41
146,Awbari,LY,2020-09-03 17:51:01,26.59,12.78,92.84,11,0,9.35
147,Marawi,PH,2020-09-03 17:51:01,8.0,124.29,75.99,91,97,5.01
148,Pisco,PE,2020-09-03 17:51:02,-13.7,-76.22,66.2,63,75,17.22
149,Taoudenni,ML,2020-09-03 17:51:02,22.68,-3.98,110.88,11,47,17.47
150,Saint-Philippe,RE,2020-09-03 17:51:02,-21.36,55.77,66.2,77,90,5.82
151,Beloha,MG,2020-09-03 17:51:02,-25.17,45.05,60.42,75,2,10.58
152,Maniitsoq,GL,2020-09-03 17:51:03,65.42,-52.9,47.1,55,80,6.02
153,Kysyl-Syr,RU,2020-09-03 17:51:03,63.9,122.76,51.62,94,84,4.03
154,Akhmim,EG,2020-09-03 17:51:03,26.56,31.75,98.6,19,0,12.75
155,Xian,CN,2020-09-03 17:51:03,34.26,108.93,73.0,93,0,4.47
156,Ojinaga,MX,2020-09-03 17:51:04,29.57,-104.42,95.0,20,1,4.7
157,Maloy,NO,2020-09-03 17:51:04,61.94,5.11,60.01,76,75,19.46
158,Pontes E Lacerda,BR,2020-09-03 17:51:04,-15.23,-59.34,107.47,10,42,0.47
159,Hof,DE,2020-09-03 17:51:04,50.32,11.92,63.0,67,99,5.82
160,Georgetown,MY,2020-09-03 17:50:38,5.41,100.34,78.8,88,20,4.7
161,Abu Samrah,SY,2020-09-03 17:51:06,35.3,37.18,91.53,12,11,6.4
162,San Quintin,MX,2020-09-03 17:51:06,30.48,-115.95,74.08,71,16,9.64
163,Moroto,UG,2020-09-03 17:51:06,2.53,34.67,72.09,61,80,2.84
164,Labuhan,ID,2020-09-03 17:51:06,-6.88,112.21,78.66,82,74,7.2
165,Luderitz,NA,2020-09-03 17:51:06,-26.65,15.16,59.85,49,0,3.11
166,Urucara,BR,2020-09-03 17:51:07,-2.54,-57.76,100.53,27,57,5.26
167,Vostok,RU,2020-09-03 17:51:07,46.49,135.88,65.01,85,55,9.8
168,Boa Vista,BR,2020-09-03 17:49:25,2.82,-60.67,84.2,66,75,3.36
169,Qaanaaq,GL,2020-09-03 17:51:07,77.48,-69.36,28.63,85,78,3.47
170,Ceres,US,2020-09-03 17:47:11,37.59,-120.96,73.0,56,1,5.82
171,Miraflores,MX,2020-09-03 17:51:08,19.22,-98.81,73.4,35,40,6.93
172,Praia Da Vitoria,PT,2020-09-03 17:51:08,38.73,-27.07,77.0,69,40,1.36
173,Blagoyevo,RU,2020-09-03 17:51:08,63.37,47.92,52.25,81,100,4.05
174,Humaita,BR,2020-09-03 17:51:08,-7.51,-63.02,99.82,25,33,1.83
175,San Angelo,US,2020-09-03 17:50:12,31.46,-100.44,91.0,51,0,1.01
176,Sooke,CA,2020-09-03 17:51:09,48.37,-123.73,69.01,67,21,5.99
177,Huilong,CN,2020-09-03 17:51:09,31.81,121.66,81.0,78,0,6.82
178,Berlevag,NO,2020-09-03 17:51:09,70.86,29.09,60.8,55,49,23.04
179,Anuradhapura,LK,2020-09-03 17:51:10,8.36,80.42,79.41,77,32,8.25
180,Saint Anthony,US,2020-09-03 17:51:10,45.02,-93.22,66.99,45,75,18.34
181,Vila Velha,BR,2020-09-03 17:47:53,-20.33,-40.29,82.4,58,40,12.75
182,Provideniya,RU,2020-09-03 17:51:10,64.38,-173.3,39.81,73,95,4.09
183,Margate,GB,2020-09-03 17:51:10,51.38,1.39,68.0,80,95,4.0
184,Hasaki,JP,2020-09-03 17:51:11,35.73,140.83,78.01,94,75,3.36
185,Arlit,NE,2020-09-03 17:51:11,18.74,7.39,80.17,54,57,16.71
186,Souillac,MU,2020-09-03 17:51:11,-20.52,57.52,69.8,77,75,14.99
187,Bogorodskoye,RU,2020-09-03 17:51:11,56.55,37.88,57.97,65,100,10.31
188,Rong Kwang,TH,2020-09-03 17:51:11,18.34,100.32,76.57,86,24,1.01
189,Havre-Saint-Pierre,CA,2020-09-03 17:51:12,50.23,-63.6,60.8,77,1,19.46
190,Erenhot,CN,2020-09-03 17:51:12,43.65,111.98,63.46,41,1,7.2
191,Te Anau,NZ,2020-09-03 17:51:12,-45.42,167.72,42.78,82,100,6.33
192,Jamestown,US,2020-09-03 17:51:12,42.1,-79.24,75.99,73,20,11.41
193,Monrovia,LR,2020-09-03 17:50:49,6.3,-10.8,80.6,83,75,11.41
194,Oranjemund,NA,2020-09-03 17:51:13,-28.55,16.43,62.56,39,0,5.41
195,Ust-Kulom,RU,2020-09-03 17:51:13,61.69,53.69,44.74,83,65,2.37
196,Vardo,NO,2020-09-03 17:51:13,70.37,31.11,53.6,76,75,16.11
197,Cairns,AU,2020-09-03 17:51:09,-16.92,145.77,69.8,88,75,9.17
198,Pangkalanbuun,ID,2020-09-03 17:51:14,-2.68,111.62,75.38,96,99,0.67
199,Fortuna,US,2020-09-03 17:51:14,40.6,-124.16,55.99,100,90,4.7
200,Palana,RU,2020-09-03 17:51:14,59.12,159.97,40.64,90,77,7.56
201,Mar Del Plata,AR,2020-09-03 17:51:14,-38.0,-57.56,55.0,66,75,6.93
202,Semey,KZ,2020-09-03 17:51:14,50.41,80.23,63.7,69,100,10.89
203,Mount Isa,AU,2020-09-03 17:51:15,-20.73,139.5,55.4,43,0,8.46
204,Talnakh,RU,2020-09-03 17:51:15,69.49,88.4,42.8,93,73,22.37
205,Hamilton,US,2020-09-03 17:50:30,39.18,-84.53,82.0,74,75,6.93
206,Tilichiki,RU,2020-09-03 17:51:15,60.47,166.1,38.53,91,23,9.26
207,Iquitos,PE,2020-09-03 17:51:16,-3.75,-73.25,86.0,70,75,3.36
208,Khuzdar,PK,2020-09-03 17:51:16,27.74,66.64,81.1,42,0,4.83
209,Victoria,HK,2020-09-03 17:51:16,22.29,114.16,86.0,74,6,6.15
210,Bandar-E Lengeh,IR,2020-09-03 17:51:16,26.56,54.88,93.2,44,0,6.93
211,Guerrero Negro,MX,2020-09-03 17:51:16,27.98,-114.06,79.09,58,3,12.08
212,Shakhtinsk,KZ,2020-09-03 17:51:17,49.71,72.59,51.8,87,90,8.95
213,Sosua,DO,2020-09-03 17:51:17,19.77,-70.52,89.6,70,20,16.11
214,Morondava,MG,2020-09-03 17:51:17,-20.28,44.28,74.71,71,0,11.83
215,Cleveland,US,2020-09-03 17:51:00,41.5,-81.7,80.6,47,1,14.99
216,Nanortalik,GL,2020-09-03 17:51:18,60.14,-45.24,47.88,56,100,12.39
217,Sovetskiy,RU,2020-09-03 17:51:18,61.36,63.58,44.22,83,44,8.75
218,Sitka,US,2020-09-03 17:51:18,57.05,-135.33,53.6,93,90,4.7
219,Vrangel,RU,2020-09-03 17:51:18,42.73,133.08,68.63,87,24,8.23
220,Mizdah,LY,2020-09-03 17:51:18,31.45,12.98,79.21,68,8,26.82
221,Yarada,IN,2020-09-03 17:51:19,17.65,83.27,82.4,94,40,2.24
222,Mount Gambier,AU,2020-09-03 17:51:19,-37.83,140.77,44.6,93,18,8.05
223,Laramie,US,2020-09-03 17:51:19,41.31,-105.59,75.0,22,1,4.7
224,Svetlaya,RU,2020-09-03 17:51:19,46.54,138.33,63.99,94,100,8.93
225,Charlestown,AU,2020-09-03 17:51:20,-32.95,151.67,64.99,61,26,7.87
226,Phalombe,MW,2020-09-03 17:51:20,-15.81,35.65,62.85,68,31,5.41
227,Kaitangata,NZ,2020-09-03 17:51:20,-46.28,169.85,41.0,86,92,4.0
228,Urumqi,CN,2020-09-03 17:51:20,43.8,87.6,80.01,31,83,26.84
