,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
360,Aseri,EE,59.45,26.87,59.95,75,18,7.92,few clouds
361,Mantenopolis,BR,-18.86,-41.12,80.64,48,28,5.75,scattered clouds
362,Karratha,AU,-20.74,116.85,69.64,76,0,8.7,clear sky
363,Harper,LR,4.38,-7.72,77.13,81,90,11.56,overcast clouds
364,Santa Engracia,ES,41.94,-1.32,79.0,40,0,23.04,clear sky
365,Anloga,GH,5.79,0.9,84.2,66,20,16.11,few clouds
366,Ulladulla,AU,-35.35,150.47,48.2,93,0,4.7,clear sky
367,Marienburg,PL,54.04,19.03,63.0,100,20,7.36,light rain
368,Cottonwood,US,34.74,-112.01,88.0,22,0,1.99,clear sky
369,Srandakan,ID,-7.94,110.25,76.87,83,100,5.48,light rain
370,Makakilo City,US,21.35,-158.09,78.8,73,1,3.36,clear sky
371,Oil City,US,41.43,-79.71,71.01,64,1,2.28,clear sky
372,Mossendjo,CG,-2.95,12.73,80.65,57,35,6.31,scattered clouds
373,Eureka,US,40.8,-124.16,61.0,100,0,5.17,clear sky
374,Fortuna,US,40.6,-124.16,66.99,72,75,8.05,broken clouds
375,Hachinohe,JP,40.5,141.5,69.8,100,75,3.36,mist
376,Nokaneng,BW,-19.67,22.27,82.26,15,0,6.35,clear sky
377,Kushima,JP,31.46,131.23,80.6,78,90,12.75,light intensity shower rain
378,Cochrane,CA,51.18,-114.47,48.99,93,90,4.7,overcast clouds
379,Itapicuru,BR,-11.32,-38.23,86.85,41,77,13.76,broken clouds
380,Salaga,GH,8.55,-0.52,79.95,82,80,5.5,light rain
381,Ust-Nera,RU,64.57,143.2,44.62,78,100,3.42,light rain
382,Belmonte,BR,-15.86,-38.88,78.8,69,75,11.41,broken clouds
383,Kaitangata,NZ,-46.28,169.85,45.0,76,36,5.01,scattered clouds
384,Pak Phanang,TH,8.35,100.2,80.55,80,52,9.84,moderate rain
385,Kenai,US,60.55,-151.26,48.0,87,90,5.82,overcast clouds
386,Beringovskiy,RU,63.05,179.32,44.96,83,95,4.25,overcast clouds
387,Vagamo,NO,61.88,9.1,55.09,49,57,8.01,broken clouds
388,Bubaque,GW,11.28,-15.83,79.97,82,27,20.96,scattered clouds
389,Abu Zabad,SD,12.35,29.25,86.79,53,84,7.61,broken clouds
390,Portland,US,45.52,-122.68,64.0,87,20,3.02,few clouds
391,Yatou,CN,37.15,122.38,68.41,84,92,7.38,overcast clouds
392,Linxia,CN,35.6,103.21,60.22,53,73,2.46,broken clouds
393,Odweyne,SO,9.41,45.06,80.01,48,89,10.69,overcast clouds
394,Mustafakemalpasa,TR,40.04,28.41,84.2,54,0,12.75,clear sky
395,Kholodnyy,RU,62.72,147.95,42.31,86,79,5.53,broken clouds
396,Fayaoue,NC,-20.65,166.53,72.99,77,100,19.93,overcast clouds
397,Coquimbo,CL,-29.95,-71.34,57.2,76,70,11.41,broken clouds
398,Nantucket,US,41.28,-70.1,71.6,78,1,12.75,clear sky
399,Pacific Grove,US,36.62,-121.92,71.6,56,1,6.06,clear sky
400,Broome,US,42.25,-75.83,66.99,72,75,4.7,broken clouds
401,Yarmouth,US,41.71,-70.23,78.01,69,1,12.75,clear sky
402,Moyale,KE,3.52,39.06,71.94,60,55,8.97,broken clouds
403,Colac,AU,-38.33,143.58,50.0,79,93,1.99,overcast clouds
404,Yerbogachen,RU,61.28,108.01,52.59,94,100,7.43,overcast clouds
405,Sulangan,PH,11.14,123.72,85.41,72,100,1.14,overcast clouds
406,Oranjestad,AW,12.52,-70.03,89.6,62,20,17.22,few clouds
407,Kurbnesh,AL,41.78,20.08,82.4,51,0,8.05,clear sky
408,Meulaboh,ID,4.14,96.13,77.22,81,100,4.74,overcast clouds
409,Klyuchi,RU,52.27,79.17,48.74,64,93,7.29,overcast clouds
410,Cayenne,GF,4.93,-52.33,91.4,59,0,6.93,light rain
411,Novyy Urengoy,RU,66.08,76.63,50.34,78,47,3.53,scattered clouds
412,Saint-Augustin,CA,51.23,-58.65,64.92,52,5,16.37,clear sky
413,Severo-Kurilsk,RU,50.68,156.12,54.23,92,100,4.7,overcast clouds
414,Jiangdu,CN,32.43,119.56,72.99,81,1,7.52,clear sky
415,Kalemie,CD,-5.95,29.19,77.54,50,0,2.42,clear sky
416,Amapa,BR,1.0,-52.0,91.54,47,84,4.76,broken clouds
417,Tommot,RU,58.96,126.29,49.01,88,20,1.72,few clouds
418,Dawei,MM,14.08,98.2,78.94,87,99,2.21,overcast clouds
419,Udachnyy,RU,66.42,112.4,37.4,93,22,6.71,few clouds
420,Cozumel,MX,20.51,-86.95,87.8,66,75,8.05,broken clouds
421,Sembakung,ID,3.82,117.25,74.37,96,55,1.05,moderate rain
422,Rurrenabaque,BO,-14.44,-67.53,97.93,32,85,5.28,overcast clouds
423,Bilibino,RU,68.05,166.44,29.73,94,0,3.24,clear sky
424,Lodja,CD,-3.48,23.43,79.97,67,100,3.33,overcast clouds
425,Leh,IN,34.17,77.58,60.26,34,35,5.84,scattered clouds
426,Ulaanbaatar,MN,47.91,106.88,50.0,81,16,2.24,few clouds
427,Quelimane,MZ,-17.88,36.89,77.0,69,20,4.7,few clouds
428,Vila Franca Do Campo,PT,37.72,-25.43,71.6,64,75,18.34,light intensity shower rain
429,Quatre Cocos,MU,-20.21,57.76,73.0,78,40,10.29,scattered clouds
430,San Cristobal,VE,7.77,-72.22,87.8,52,40,13.87,scattered clouds
431,Manhattan,US,40.78,-73.97,82.0,53,1,4.7,clear sky
432,Visby,SE,57.64,18.3,61.0,62,20,16.11,few clouds
433,Kroya,ID,-7.63,109.25,76.59,82,100,6.08,overcast clouds
434,Tapes,BR,-30.67,-51.4,58.91,94,100,9.55,light rain
435,Rhymney,GB,51.76,-3.29,62.01,84,93,1.01,light rain
436,Senador Pompeu,BR,-5.59,-39.37,93.9,24,0,7.76,clear sky
437,High Level,CA,58.52,-117.14,44.6,87,75,4.7,broken clouds
438,Abalak,RU,58.13,68.59,45.23,93,99,8.86,light rain
439,Sao Geraldo Do Araguaia,BR,-6.4,-48.55,104.23,16,0,6.26,clear sky
440,Mackenzie,CA,55.3,-123.17,51.8,93,90,1.95,overcast clouds
441,Pimenta Bueno,BR,-11.67,-61.19,113.63,12,41,1.3,scattered clouds
442,Tiksi,RU,71.69,128.87,42.55,90,100,6.6,overcast clouds
443,Lasa,IT,46.62,10.7,64.99,87,40,6.93,scattered clouds
444,Olafsvik,IS,64.89,-23.71,50.9,97,100,10.92,moderate rain
445,Trairi,BR,-3.28,-39.27,87.67,44,0,15.75,clear sky
446,Abonnema,NG,4.71,6.79,82.6,65,95,12.26,overcast clouds
447,Nizhniy Tsasuchey,RU,50.52,115.13,55.62,84,61,4.56,broken clouds
448,Marivan,IR,35.52,46.18,72.59,21,0,3.27,clear sky
449,Bintulu,MY,3.17,113.03,78.8,94,40,2.24,scattered clouds
450,Suntar,RU,62.14,117.63,45.12,84,91,3.74,overcast clouds
451,Puerto Escondido,MX,15.85,-97.07,78.8,78,90,3.31,overcast clouds
452,Cururupu,BR,-1.83,-44.87,86.47,57,52,8.77,broken clouds
453,Kuminskiy,RU,58.67,66.57,47.43,75,100,6.8,overcast clouds
454,Lazaro Cardenas,MX,17.96,-102.2,83.34,72,91,3.06,overcast clouds
455,Daru,PG,-9.08,143.21,77.61,86,100,18.16,overcast clouds
456,Yuxia,CN,34.06,108.63,78.01,94,0,2.24,clear sky
457,Barrie,CA,44.4,-79.67,63.0,59,20,4.7,few clouds
458,Lavrentiya,RU,65.58,-171.0,38.7,85,100,7.49,overcast clouds
459,Sitka,US,57.05,-135.33,48.2,87,40,2.64,scattered clouds
460,Paraiso,CR,9.84,-83.87,78.8,61,27,6.93,scattered clouds
461,Yar-Sale,RU,66.83,70.83,42.33,66,0,5.1,clear sky
462,Beyneu,KZ,45.32,55.2,68.54,34,100,20.15,overcast clouds
463,Plouzane,FR,48.38,-4.62,66.2,72,75,10.29,broken clouds
464,Tautira,PF,-17.73,-149.15,71.6,83,40,3.36,scattered clouds
465,Sokna,NO,60.24,9.92,62.01,65,62,1.99,broken clouds
466,Puri,IN,19.8,85.85,84.2,89,40,4.7,haze
467,Jijiga,ET,9.35,42.8,66.99,74,81,5.14,broken clouds
468,Mgachi,RU,51.05,142.27,60.24,82,100,6.78,overcast clouds
469,Manokwari,ID,-0.87,134.08,79.65,77,97,3.15,light rain
470,Dabakala,CI,8.37,-4.43,78.17,87,83,7.38,moderate rain
471,Whitianga,NZ,-36.83,175.7,55.0,93,100,3.0,light rain
472,Gat,IL,31.61,34.76,87.01,62,0,12.53,clear sky
473,Cham,DE,49.24,12.68,64.0,50,94,1.99,overcast clouds
474,Sztum,PL,53.92,19.03,63.0,63,31,7.27,scattered clouds
475,Pavlodar,KZ,52.3,76.95,44.6,87,90,6.71,overcast clouds
476,Bahir Dar,ET,11.59,37.39,67.53,69,22,2.93,light rain
477,Ojinaga,MX,29.57,-104.42,78.8,47,1,5.82,clear sky
478,Caravelas,BR,-17.71,-39.25,77.9,73,34,9.84,light rain
479,Misratah,LY,32.38,15.09,82.47,68,0,18.88,clear sky
480,Puerto Carreno,CO,6.19,-67.49,86.0,66,40,5.82,scattered clouds
481,Kadoma,JP,34.73,135.58,81.0,74,96,14.12,overcast clouds
482,Jumla,NP,29.27,82.18,59.72,70,3,2.08,clear sky
483,Hualmay,PE,-11.1,-77.61,66.22,65,92,8.61,overcast clouds
484,Kulhudhuffushi,MV,6.62,73.07,82.76,74,100,22.82,overcast clouds
485,Sechura,PE,-5.56,-80.82,71.85,55,23,10.07,few clouds
486,Fez,MA,34.04,-5.0,98.6,25,75,10.29,broken clouds
487,Dudinka,RU,69.41,86.18,46.4,70,0,8.95,clear sky
488,Makokou,GA,0.57,12.86,79.83,73,34,2.64,light rain
489,Chernyshkovskiy,RU,48.42,42.23,74.61,20,100,8.99,light rain
490,Iquique,CL,-20.22,-70.14,60.8,63,90,6.93,overcast clouds
491,Port Hedland,AU,-20.32,118.57,69.8,94,12,5.82,few clouds
492,Waipawa,NZ,-41.41,175.52,51.8,81,98,23.04,overcast clouds
493,Batman,TR,37.89,41.13,91.4,21,0,6.93,clear sky
494,Beloha,MG,-25.17,45.05,64.92,67,0,16.93,clear sky
495,Adrar,MR,20.5,-10.07,97.79,28,73,10.65,broken clouds
496,Palmer,US,42.16,-72.33,75.99,49,20,4.56,few clouds
497,Valkeala,FI,60.94,26.8,59.0,82,20,3.36,shower rain
498,Aasiaat,GL,68.71,-52.87,37.06,80,73,13.44,broken clouds
499,Saint-Hyacinthe,CA,45.62,-72.95,66.99,68,1,8.05,clear sky
500,Port Hardy,CA,50.7,-127.42,57.2,93,75,2.24,broken clouds
501,Turayf,SA,31.67,38.66,104.0,11,40,3.36,scattered clouds
502,Nargana,PA,9.44,-78.59,85.06,71,66,4.12,broken clouds
503,Opuwo,NA,-18.06,13.84,90.32,12,14,10.16,few clouds
504,Smithers,CA,54.78,-127.17,51.8,100,90,2.24,light rain
505,Terrace,CA,54.52,-128.6,57.2,100,90,8.05,shower rain
506,Suzun,RU,53.78,82.31,43.81,76,47,3.24,scattered clouds
507,Meshchovsk,RU,54.32,35.28,64.09,68,96,4.76,overcast clouds
508,Balkhash,KZ,46.84,74.98,60.76,39,33,11.27,scattered clouds
509,El Paso,US,31.76,-106.49,80.01,47,1,4.94,clear sky
510,Souillac,MU,-20.52,57.52,71.6,78,40,10.29,scattered clouds
511,Tahta,EG,26.77,31.5,104.0,21,0,13.87,clear sky
512,Tahoua,NE,14.89,5.27,84.2,62,20,4.7,few clouds
513,Kardla,EE,59.0,22.75,60.8,67,40,9.17,light rain
514,Fort Nelson,CA,58.81,-122.7,41.0,100,90,3.36,mist
515,Beni Suef,EG,29.07,31.1,98.46,19,0,9.75,clear sky
516,Bereda,ES,43.27,-7.54,66.99,68,6,17.0,clear sky
517,Llata,PE,-9.42,-76.78,62.13,32,31,5.77,scattered clouds
518,Lebyazhye,RU,55.27,66.49,50.36,69,100,6.82,overcast clouds
519,Jiuquan,CN,39.74,98.52,69.28,24,0,8.88,clear sky
520,Doha,QA,25.29,51.53,96.01,53,0,5.82,clear sky
521,Akyab,MM,20.15,92.9,83.14,75,100,4.12,overcast clouds
522,Robertsganj,IN,24.7,83.07,80.94,78,81,4.09,heavy intensity rain
523,Ballina,AU,-28.87,153.57,62.6,72,40,6.93,scattered clouds
524,Hearst,CA,49.68,-83.67,58.96,61,75,8.03,light rain
525,Neiafu,TO,-18.65,-173.98,73.4,60,75,10.29,broken clouds
526,Price,US,39.6,-110.81,73.4,17,1,1.61,clear sky
527,Saint Anthony,US,45.02,-93.22,75.0,69,1,16.11,clear sky
528,Palana,RU,59.12,159.97,44.85,75,97,6.58,overcast clouds
529,Zimovniki,RU,47.15,42.46,76.73,28,94,10.04,overcast clouds
530,Cajati,BR,-24.74,-48.12,88.11,43,11,3.4,few clouds
531,Mitu,CO,1.2,-70.17,94.37,46,42,1.95,scattered clouds
532,Manta,EC,-0.95,-80.73,77.0,73,90,4.7,overcast clouds
533,Husavik,IS,66.04,-17.34,53.6,76,75,16.11,broken clouds
534,Shaunavon,CA,49.65,-108.42,54.16,69,100,18.99,light rain
535,Koygorodok,RU,60.45,51.0,54.41,84,0,4.56,clear sky
536,Lasalgaon,IN,20.15,74.23,78.87,81,90,5.14,light rain
537,Biltine,TD,14.53,20.92,79.68,68,76,6.08,broken clouds
538,Show Low,US,34.25,-110.03,77.0,29,1,14.99,clear sky
539,Ippy,CF,6.27,21.22,73.17,95,88,5.1,moderate rain
540,Half Moon Bay,US,37.46,-122.43,81.0,77,1,3.96,haze
541,Kijang,KR,35.24,129.21,71.6,78,90,29.97,moderate rain
542,Suez,EG,29.97,32.53,89.29,39,0,14.63,clear sky
543,Ghoti,IN,19.72,73.62,75.61,87,100,1.45,overcast clouds
544,Konongo,GH,6.62,-1.22,84.2,58,68,4.56,broken clouds
545,Hovd,MN,48.01,91.64,59.36,44,14,2.95,few clouds
546,Caucaia,BR,-3.74,-38.65,87.8,45,7,17.22,clear sky
547,Yulara,AU,-25.24,130.99,73.4,20,0,4.7,light rain
548,General Roca,AR,-39.03,-67.58,51.8,62,0,2.24,clear sky
549,Lagos,NG,6.58,3.75,79.97,72,63,10.25,broken clouds
550,Vostok,RU,46.49,135.88,56.53,89,100,2.82,overcast clouds
551,San Gavino Monreale,IT,39.55,8.79,82.4,61,20,9.17,few clouds
552,Padang,ID,-0.95,100.35,78.35,78,60,4.72,broken clouds
553,Minna,NG,9.61,6.56,79.18,81,96,2.55,light rain
554,Svetlyy,RU,54.67,20.13,62.6,67,20,8.95,moderate rain
555,Bilma,NE,18.69,12.92,103.98,10,10,6.15,clear sky
556,Mindelo,CV,16.89,-24.98,87.8,62,40,27.51,scattered clouds
557,Kalofer,BG,42.62,24.98,82.0,32,0,1.92,clear sky
558,Deniliquin,AU,-35.53,144.97,50.0,68,6,1.01,clear sky
559,Kloulklubed,PW,7.04,134.26,77.0,94,75,3.36,broken clouds
560,Bethalto,US,38.91,-90.04,80.01,94,90,4.7,overcast clouds
561,Mattru,SL,7.62,-11.83,78.33,87,91,6.85,moderate rain
562,Camacari,BR,-12.7,-38.32,82.4,65,40,11.41,scattered clouds
563,Sao Paulo De Olivenca,BR,-3.38,-68.87,99.55,37,38,1.43,scattered clouds
564,Erenhot,CN,43.65,111.98,69.51,48,69,10.65,broken clouds
565,Sioux Lookout,CA,50.1,-91.92,53.6,93,90,5.82,overcast clouds
566,Letterkenny,IE,54.95,-7.73,62.6,72,75,9.17,broken clouds
567,Lamar,US,33.67,-95.58,82.99,78,1,6.93,clear sky
568,Ayagoz,KZ,47.97,80.44,48.54,51,0,8.7,clear sky
569,Santiago,CL,-33.46,-70.65,63.0,44,45,3.62,scattered clouds
570,Kaeo,NZ,-35.1,173.78,55.99,3,97,9.89,light rain
571,Ankpa,NG,7.37,7.63,79.95,79,99,4.21,overcast clouds
572,Lekoni,GA,-1.58,14.26,82.67,56,83,6.98,broken clouds
573,Upington,ZA,-28.45,21.26,75.2,25,20,9.17,few clouds
574,Khoni,GE,42.32,42.42,75.2,83,90,4.7,overcast clouds
575,Paamiut,GL,61.99,-49.67,44.96,90,100,4.85,light rain
576,Katiola,CI,8.13,-5.1,84.2,66,40,9.17,scattered clouds
577,Siddipet,IN,18.1,78.85,78.28,83,83,5.93,broken clouds
578,Rabak,SD,13.18,32.74,90.1,48,18,6.02,few clouds
579,Russell,US,32.35,-85.2,82.99,57,1,3.36,clear sky
580,Saint-Francois,FR,46.42,3.91,68.0,42,81,12.75,broken clouds
581,Hit,IQ,33.64,42.83,98.85,9,0,8.41,clear sky
582,Tonj,SS,7.27,28.68,73.81,94,94,2.91,overcast clouds
583,Bowen,AU,-20.02,148.23,66.2,88,40,10.29,scattered clouds
584,Katsuura,JP,35.13,140.3,78.8,94,75,3.36,moderate rain
585,Paidha,UG,2.42,30.99,64.58,93,100,4.14,light rain
586,Eyl,SO,7.98,49.82,77.49,73,46,26.4,scattered clouds
587,Betanzos,ES,43.28,-8.21,72.0,56,0,12.75,clear sky
588,Naryan-Mar,RU,67.67,53.09,57.58,86,83,7.23,broken clouds
589,Seoul,KR,37.57,126.98,66.2,93,90,11.36,light rain
590,Cairns,AU,-16.92,145.77,71.6,83,75,10.29,broken clouds
591,Kamenka,RU,51.32,42.77,66.99,35,4,8.77,clear sky
592,Andreapol,RU,56.65,32.27,61.39,91,100,4.7,light rain
593,Vanderhoof,CA,54.02,-124.02,57.2,82,81,3.36,broken clouds
594,Montagnana,IT,45.23,11.46,81.0,70,14,5.82,light rain
595,Micheweni,TZ,-4.97,39.83,76.1,76,1,11.65,clear sky
596,Mayo,US,38.89,-76.51,81.0,54,1,4.7,clear sky
597,Sucua,EC,-2.47,-78.17,71.6,78,20,3.36,few clouds
598,Benghazi,LY,32.12,20.07,79.9,67,0,17.74,clear sky
599,Uray,RU,60.12,64.78,48.54,63,0,7.76,clear sky
600,Kamien Pomorski,PL,53.97,14.77,63.0,67,20,3.36,few clouds
601,Tigil,RU,57.8,158.67,46.62,93,100,10.27,light rain
602,Karachi,PK,24.91,67.08,84.2,74,40,11.41,scattered clouds
603,Baruun-Urt,MN,46.68,113.28,54.43,81,0,6.26,clear sky
604,Soyo,AO,-6.13,12.37,77.0,83,75,8.05,broken clouds
605,Pafos,CY,34.77,32.42,84.2,70,20,8.05,few clouds
606,Ngunguru,NZ,-35.62,174.5,55.99,3,99,13.02,overcast clouds
607,Muyezerskiy,RU,63.93,31.65,56.21,74,70,5.08,broken clouds
608,Vila Velha,BR,-20.33,-40.29,81.0,65,20,14.99,few clouds
609,Astoria,US,46.19,-123.83,60.01,93,75,2.13,broken clouds
610,Ati,TD,13.22,18.34,82.87,62,69,12.28,broken clouds
611,Visaginas,LT,55.6,26.42,59.97,81,47,5.5,scattered clouds
612,Kelvington,CA,52.17,-103.53,54.28,66,43,23.02,light rain
613,Zhezkazgan,KZ,47.8,67.71,51.8,32,1,8.95,clear sky
614,Muscatine,US,41.47,-91.13,66.99,93,90,16.11,overcast clouds
615,Fershampenuaz,RU,53.52,59.81,51.8,76,29,7.09,scattered clouds
616,Mpulungu,ZM,-8.76,31.11,78.35,35,67,3.53,broken clouds
617,Luganville,VU,-15.53,167.17,75.2,88,75,10.92,broken clouds
618,Costa Rica,BR,-23.42,-54.65,90.46,31,5,7.36,clear sky
619,Kalmunai,LK,7.42,81.82,77.88,79,98,14.29,light rain
620,Sabzevar,IR,36.21,57.68,87.8,19,0,7.14,clear sky
621,Apache Junction,US,33.42,-111.55,98.01,19,1,6.93,clear sky
622,Kidal,ML,18.44,1.41,97.29,26,3,2.77,clear sky
623,Bafata,GW,12.17,-14.75,79.52,89,100,10.27,moderate rain
624,Schruns,AT,47.07,9.95,54.0,100,100,5.84,moderate rain
625,Sorong,ID,-0.88,131.25,79.39,85,97,4.74,moderate rain
626,Bucksport,US,44.57,-68.8,73.0,49,0,4.0,clear sky
627,Zakamensk,RU,50.37,103.29,44.2,85,30,0.29,scattered clouds
628,Kaduy,RU,59.2,37.15,66.2,77,40,8.95,scattered clouds
629,Umm Lajj,SA,25.02,37.27,90.05,58,1,4.68,clear sky
630,Abapo,BO,-18.83,-63.47,88.59,28,45,5.26,scattered clouds
631,Pontianak,ID,-0.03,109.33,73.38,88,100,2.95,light rain
632,Zhenlai,CN,45.85,123.3,60.01,88,27,4.0,light rain
633,Ahmadnagar,IN,19.08,74.73,80.56,71,96,4.68,overcast clouds
634,Bahia Blanca,AR,-38.72,-62.27,59.4,39,2,3.27,clear sky
635,Praia Da Vitoria,PT,38.73,-27.07,72.0,68,75,22.39,broken clouds
636,La Ronge,CA,55.1,-105.28,48.2,87,75,11.41,broken clouds
637,Black River,JM,18.03,-77.85,86.0,74,40,16.11,scattered clouds
638,San Diego De Los Banos,CU,22.65,-83.37,87.42,58,0,7.16,clear sky
639,Prince Rupert,CA,54.32,-130.32,59.0,100,90,3.36,light rain
640,Ayan,RU,56.45,138.17,51.4,94,100,2.82,light rain
641,Linhares,BR,-19.39,-40.07,81.57,56,94,4.21,overcast clouds
642,Saint-Georges,GD,12.06,-61.75,87.8,70,40,21.92,scattered clouds
643,Mattawa,US,46.74,-119.9,77.0,59,1,2.95,clear sky
644,Rincon,US,32.3,-81.24,81.0,69,75,8.05,broken clouds
645,Bracebridge,CA,45.03,-79.32,60.8,59,1,4.7,clear sky
646,Aquiraz,BR,-3.9,-38.39,87.8,45,17,17.22,few clouds
647,Skogn,NO,63.7,11.2,57.99,76,40,11.41,scattered clouds
648,Wagga Wagga,AU,-35.12,147.37,46.0,100,0,6.93,clear sky
649,Bang Saphan,TH,11.21,99.51,78.35,90,98,6.04,overcast clouds
650,Baghdad,IQ,33.34,44.4,109.4,13,0,5.82,clear sky
651,Awjilah,LY,29.11,21.29,93.36,20,0,10.76,clear sky
652,Manoel Urbano,BR,-8.84,-69.26,98.47,33,62,3.56,broken clouds
653,Nanga Eboko,CM,4.68,12.37,72.99,95,90,3.78,moderate rain
654,Darmstadt,DE,49.83,8.67,70.0,34,100,6.93,overcast clouds
655,Turukhansk,RU,65.82,87.98,45.0,87,100,5.82,overcast clouds
656,Ipoh,MY,4.58,101.08,77.0,94,20,3.36,light rain
657,Kapuskasing,CA,49.42,-82.43,57.2,71,75,11.41,broken clouds
658,Sturgeon Falls,CA,46.36,-79.93,63.0,87,75,8.05,broken clouds
659,Gualaceo,EC,-2.9,-78.78,62.6,67,75,6.93,broken clouds
660,Werdohl,DE,51.27,7.77,63.0,59,28,1.01,light rain
661,Novomikhaylovskiy,RU,44.26,38.86,71.78,83,94,10.69,moderate rain
662,Bulawayo,ZW,-20.15,28.58,64.76,36,0,11.43,clear sky
663,Mitsamiouli,KM,-11.38,43.28,78.8,65,20,10.29,few clouds
664,Irbil,IQ,36.19,44.01,104.0,11,0,3.36,clear sky
665,Waverly,US,42.74,-84.62,64.99,67,1,8.05,clear sky
666,Parrita,CR,9.52,-84.32,79.0,61,58,6.93,light rain
667,Las Choapas,MX,17.93,-94.08,80.6,88,75,3.62,moderate rain
668,Oktyabrskoye,RU,43.06,44.74,69.8,83,40,4.47,scattered clouds
669,Vila,PT,42.03,-8.16,82.99,45,0,11.99,clear sky
670,Ketchikan,US,55.34,-131.65,55.4,100,90,4.7,light rain
671,Sao Joao Da Barra,BR,-21.64,-41.05,86.0,37,0,11.41,clear sky
672,Basco,PH,20.45,121.97,83.25,68,58,5.75,broken clouds
673,Dalvik,IS,65.97,-18.53,53.6,76,75,16.11,broken clouds
674,Launceston,AU,-41.45,147.17,48.2,87,100,14.99,overcast clouds
675,Tarancon,ES,40.01,-3.01,91.99,18,0,6.51,clear sky
676,Meiktila,MM,20.87,95.87,80.53,81,85,10.38,overcast clouds
677,Olinda,BR,-8.01,-34.86,82.4,58,20,13.87,few clouds
678,Tessalit,ML,20.2,1.01,100.09,17,50,3.69,scattered clouds
679,Najran,SA,17.49,44.13,91.4,19,0,9.17,clear sky
680,Leiyang,CN,26.4,112.86,73.72,91,100,4.76,light rain
681,Lincoln,US,40.8,-96.67,86.0,56,100,5.01,overcast clouds
682,Jardim,BR,-21.48,-56.14,98.78,16,45,7.45,scattered clouds
683,Trofors,NO,65.53,13.41,55.4,82,75,2.24,shower rain
684,West Bay,KY,19.37,-81.42,87.8,74,40,8.46,scattered clouds
685,Pimentel,PE,-6.84,-79.93,66.2,68,75,9.17,broken clouds
686,Marawi,PH,8.0,124.29,77.0,91,100,5.99,overcast clouds
687,Erzin,TR,36.96,36.2,84.0,81,0,5.66,clear sky
688,Iskateley,RU,67.68,53.15,57.51,86,86,7.25,overcast clouds
689,Poienile Izei,RO,47.7,24.12,81.0,51,25,3.36,scattered clouds
690,Nuuk,GL,64.18,-51.72,44.6,100,93,6.93,overcast clouds
691,Chimbote,PE,-9.09,-78.58,65.57,70,92,9.78,overcast clouds
692,Yelizovo,RU,53.19,158.38,51.8,100,75,2.24,broken clouds
693,Maneadero,MX,31.72,-116.57,97.07,19,0,0.31,clear sky
694,Spirit River,CA,55.78,-118.84,50.0,87,75,2.24,broken clouds
695,Cartagena Del Chaira,CO,1.33,-74.84,89.87,52,4,3.11,clear sky
696,Champerico,GT,14.3,-91.92,82.4,74,75,4.7,broken clouds
697,Vangaindrano,MG,-23.35,47.6,64.92,75,17,5.26,few clouds
698,Shitanjing,CN,39.23,106.34,69.62,33,28,1.99,scattered clouds
699,Suoyarvi,RU,62.08,32.35,57.2,82,92,4.59,overcast clouds
700,Guanica,PR,17.97,-66.91,90.0,55,53,5.01,broken clouds
701,Wanaka,NZ,-44.7,169.15,37.99,71,7,2.26,clear sky
702,Auki,SB,-8.77,160.7,77.72,85,36,4.47,light rain
703,Bumba,CD,2.18,22.47,77.74,78,72,2.42,broken clouds
704,Huron,US,41.15,-82.55,72.0,68,82,1.01,broken clouds
705,Fare,PF,-16.7,-151.02,77.95,79,44,14.14,light rain
706,Tombouctou,ML,20.0,-3.0,103.89,14,0,3.94,clear sky
707,Ilinskiy,RU,55.62,38.12,70.0,49,91,4.47,overcast clouds
708,Beboto,TD,8.27,16.94,72.27,93,100,4.36,overcast clouds
709,Matagami,CA,49.75,-77.63,59.0,58,75,7.76,broken clouds
710,Kurumkan,RU,54.3,110.3,54.45,80,100,2.3,overcast clouds
711,Hudson Bay,CA,52.85,-102.38,53.8,72,43,17.13,scattered clouds
712,Santa Cruz,BO,-17.8,-63.17,86.0,48,75,10.29,smoke
713,Umea,SE,63.83,20.26,59.0,77,0,5.82,light rain
714,Butwal,NP,27.7,83.45,78.89,80,31,3.36,light rain
715,Miramar,US,25.99,-80.23,90.0,66,20,12.75,few clouds
716,Pinar Del Rio,CU,22.42,-83.7,86.68,61,0,9.22,clear sky
717,Mahibadhoo,MV,3.78,72.97,82.85,75,100,14.05,overcast clouds
718,Inhambane,MZ,-23.86,35.38,73.4,64,40,2.24,scattered clouds
719,Banjar,ID,-8.19,114.97,78.8,100,40,10.29,scattered clouds
